m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.676300796330133,0.4773582506600441,0.4184260286951394,0.28354834069209195,1.7911927994802934,18.207843497643726,1346.3416649837816,0.4977358250660044,0.39838728513301236,0.009677599513358448
1.6791262325123046,0.48565113432360457,0.41454869707949493,0.2983552101304775,1.7805609012453807,16.2917172816841,1192.4305254994451,0.49856511343236043,0.3509322183327961,0.011944828958164453
1.6965656870613854,0.4758646073421222,0.4074649014804982,0.2756132603438164,1.7829074046226647,14.98352393221659,1386.0438717184884,0.4975864607342122,0.30042368294425525,0.014158904274968465
1.6898075331949838,0.49008823519786654,0.4222322517813546,0.25805010630264286,1.7751625309914048,17.114302876686843,1183.2925692493345,0.49900882351978665,0.2957525121932938,0.010758650956575333
1.7097137099889292,0.47959532821448203,0.413514286863632,0.29844156834463925,1.776932717863807,16.116488909194146,1437.765361540179,0.4979595328214482,0.23436891369074742,0.012156291356110746
1.691379638867182,0.47241558317613613,0.41787646968234315,0.2695085054588645,1.758487511968318,17.993856485291726,1523.8621948101204,0.49724155831761363,0.23151324697404663,0.009550587158949056
1.6838154444799707,0.45619816864329216,0.419676721761635,0.28748316686516334,1.7868333351244405,15.869786756324151,1214.1864431776996,0.4956198168643292,0.3575389164426501,0.012677274957420534
1.7269847315338234,0.4841993796590832,0.41787396872067206,0.27944451987099594,1.7722049363747476,15.518209735762497,1141.0822191259958,0.49841993796590833,0.15823407356007158,0.01304201361738214
1.701613355492702,0.48778145012791313,0.4142049153064722,0.2598371520732885,1.7696929210959982,14.734003755586588,1448.0695400405343,0.49877814501279133,0.23632502338615424,0.01442627726823329
1.706012923070319,0.4959177212351466,0.4220398114366067,0.27108178621212603,1.7784123127279756,16.365618833850498,1409.7102344692294,0.4995917721235147,0.2522702603795328,0.011808644521396124
1.6836287772067982,0.47133574569599523,0.42145194001654085,0.2646522607439891,1.782602072484189,15.96279266708532,1023.1966587200943,0.4971335745695995,0.3430642893860667,0.012470706797741753
1.6968342591321224,0.4932894207143408,0.4186964299552034,0.2654306173688033,1.759042481587664,17.261611425887402,1005.8252020791772,0.4993289420714341,0.21498394906562845,0.010384605047489847
1.706663838845648,0.4813185566966012,0.4157778221251024,0.28303523719922846,1.7520141043833952,17.179757662114714,1474.141613339675,0.4981318556696601,0.15685196313498606,0.01040018655071146
